Title,Price,Rating,Image
"Acer Travelmate Business Laptop Intel Core i5-1135G7 Processor (16GB DDR4/ 512GB SSD/Intel Iris Xe Graphics/Windows 11 Home) TMP214-53 with 35.56 cm (14.0"") Full HD Display","₹39,990",3.4 out of 5 stars,https://m.media-amazon.com/images/I/61I6wuRxe2L._AC_UY218_.jpg
"ASUS Vivobook 15, 15-inch (39.62 cms) FHD, AMD Ryzen 7 5800HS, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Quiet Blue/1.7 kg), M1502QA-EJ741WS","₹51,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71N3yW6TqyL._AC_UY218_.jpg
"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & Light, Intel Iris Xᵉ Graphics, Dual Speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU","₹39,599",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Hn-FM7yAL._AC_UY218_.jpg
"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celeron N4020 Dual Core Processor Upto 2.80GHz, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 11,WiFi 6,Webcam,BT 5.2,HDMI Port,38Wh, 1.74kg (Iron Gray)","₹19,490",3.9 out of 5 stars,https://m.media-amazon.com/images/I/517a9zWgbfL._AC_UY218_.jpg
"HP Pavilion 14, 12th Gen Intel Core i5-1235U, 14-inch (35.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, FPR, 720p HD camera, Backlit KB (Win 11, MSO 2021, Silver, 1.41 kg), dv2014TU","₹61,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/712wGJDcMvL._AC_UY218_.jpg
"HONOR MagicBook X14 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.4Kg), Gray","₹49,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61wluutkEyL._AC_UY218_.jpg
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS","₹51,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/715ILl21q2L._AC_UY218_.jpg
"ASUS VivoBook K15 OLED (2021), 15.6"" (39.62 cms) FHD OLED, Intel Core i3-1115G4 11th Gen, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Office 2021/Windows 11/Black/1.8 Kg) K513EA-L312WS","₹35,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71ArdlMYTvL._AC_UY218_.jpg
"Dell 14, Intel 12th Gen Core i5-1235U Processor Laptop/8GB/512GB SSD/14.0"" (35.56cm) FHD Display/Intel UHD Graphics/Spill-Resistant Keyboard/Win 11 + MSO'21/Black/15 Month McAfee, Thin & Light-1.48kg","₹43,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/615acqoUuIL._AC_UY218_.jpg
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14‑core CPU and 30‑core GPU, 36GB Unified Memory, 1TB) - Space Black","₹3,19,990",3.2 out of 5 stars,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_UY218_.jpg
"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 12‑core CPU and 18‑core GPU, 18GB Unified Memory, 1TB) - Space Black","₹2,39,900",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61RJn0ofUsL._AC_UY218_.jpg
"ZEBRONICS Laptop PRO Series Z NBC 5S, Intel Core 12th Gen i7 Processor (16GB RAM | 512GB SSD), 15.6-Inch (39.6 CM) IPS Display, (Ultra Slim | 38.5 Wh Large Battery |Windows 11 |Midnight Blue |1.76 Kg)","₹36,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71LYpROCRPL._AC_UY218_.jpg
"Lenovo ThinkBook 15 Intel 12th Gen Core i7 15.6"" (39.62cm) FHD IPS 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/Backlit/Mineral Grey/1Y Premier Support/1.7 Kg), 21DJA0Y0IN","₹57,490",3.0 out of 5 stars,https://m.media-amazon.com/images/I/51UoiQ-zvEL._AC_UY218_.jpg
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","₹30,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg
"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray","₹51,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61v6prN3QrL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 83BF000UIN","₹61,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81d4ZCaBnsL._AC_UY218_.jpg
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","₹34,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/51KL3aOZ0tL._AC_UY218_.jpg
"Dell 14 Laptop, AMD Ryzen R5-5500U/ 8GB DDR4, 2400 MHz/ 512GB/ 14.0"" (35.56cm) FHD Display with Comfort View/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black/ 1.48kg","₹32,990",3.1 out of 5 stars,https://m.media-amazon.com/images/I/615acqoUuIL._AC_UY218_.jpg
"HP Laptop 14s, 12th Gen Intel Core i3-1215U, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.46 kg), dy5008TU","₹34,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71SCuXlgyzL._AC_UY218_.jpg
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 6800H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win11/Office/NVIDIA RTX 3050 4GB/RGB Keyboard/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg),82SB00Y8IN","₹59,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81u-5gRjEXL._AC_UY218_.jpg
